References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
JP1, JP2	2	PIN HEADER 1X10	Molex	22-28-4103	Molex	22-28-4106	Harwin	M20-9991045	952-1842-ND	53822284103	7457071	56H2018	1022261
PWR	1	LED 0603 RED	Dialight	597-5004-407F	Dialight	597-5112-402F	Avago	HSMC-C190	350-2890-ND	78VLMW1300GS08	7008039	30K5003	1867024
CN1	1	Molex USB mini B receptacle	Molex	565790519					WM17121-ND	538565790519	5152011	20M7443	1125347
C2, C4	2	100nF 0603	Yageo	CC0603KRX7R9BB104	Murata	GRM188R71H104KA93D			490-1519-6-ND	603CC603KRX7R9BB104	7235676	68R4788	8820023
R1	1	10k 0603	Yageo	RC0603FR-0710KL	Panasonic	ERJ-3EKF1002V	Vishay	CRCW060310K0FKEA	P10.0KHDKR-ND	71CRCW060310KE3	8206742	64R5309	2303192
R2	1	1k 0603	Yageo	RC0603FR-071KL	Panasonic	ERJ-3EKF1001V	Vishay	CRCW06031K00FKEA	311-1.00KHRDKR-ND	603RC0603FR071KL	6789875	52K8015	2303145
C1, C3	2	1uF 0603	Yageo	CC0603KRX7R8BB105	Murata	GRM188R71E105KA12D			311-1802-6-ND	603CC603KRX7R8BB105	7235632	91R0949	1735540
R3, R4	2	22 Ohm 0603	Yageo	RC0603FR-0722RL	Panasonic	ERJ-3EKF22R0V	Vishay	CRCW060322R0FKEA	P22.0HCT-ND	667ERJ3EKF22R0V	8206809	64R5327	2302996
U1	1	Low Quiescent Current LDO	Microchip	MCP1700T-3302E/TT					MCP1700T3302ETTDKR-ND	579MCP1700T3302E/TT	8877429	88H9817	1296592
U2	1	STM32F042Fx TSSOP20	STMicroelectronics	STM32F042F4P6					497-17343-ND	511STM32F042F4P6	8607491P	42Y1014	2469548
